schema_version,simulator_version,evidence_class,bucket_start_ns,bucket_end_ns,source_emissions,slow_receiver_data_frame_arrivals,slow_receiver_inbox_accepts,slow_receiver_inbox_drops,slow_receiver_decoder_completions,innovative_rank_advance,rank_at_bucket_end,quantized_receiver_watermark_at_bucket_end,block_ack_emissions,sender_ack_joins,sender_progress_joins,sender_joined_watermark_at_bucket_end,last_ack_seen_ns,last_ack_progress_ns,silence_clock_age_ns,progress_clock_age_ns,stall_budget_remaining_ns,liveness_abort
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,14500000000,14750000000,0,0,0,0,0,0,6967,409,2,2,0,409,14697139863,8970563230,52860137,5779436770,9220563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,14750000000,15000000000,0,0,0,0,0,0,6967,409,2,1,0,409,14988850554,8970563230,11149446,6029436770,8970563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,15000000000,15250000000,0,0,0,0,0,0,6967,409,0,1,0,409,15006486089,8970563230,243513911,6279436770,8720563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,15250000000,15500000000,0,0,0,0,0,0,6967,409,2,2,0,409,15315115639,8970563230,184884361,6529436770,8470563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,15500000000,15750000000,0,0,0,0,0,0,6967,409,2,2,0,409,15627659165,8970563230,122340835,6779436770,8220563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,15750000000,16000000000,0,0,0,0,0,0,6967,409,2,2,0,409,15938067521,8970563230,61932479,7029436770,7970563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,16000000000,16250000000,0,0,0,0,0,0,6967,409,2,2,0,409,16246394070,8970563230,3605930,7279436770,7720563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,16250000000,16500000000,0,0,0,0,0,0,6967,409,1,1,0,409,16489121662,8970563230,10878338,7529436770,7470563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,16500000000,16750000000,0,0,0,0,0,0,6967,409,0,0,0,409,16489121662,8970563230,260878338,7779436770,7220563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,16750000000,17000000000,0,0,0,0,0,0,6967,409,2,2,0,409,16798273541,8970563230,201726459,8029436770,6970563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,17000000000,17250000000,0,0,0,0,0,0,6967,409,2,2,0,409,17106703874,8970563230,143296126,8279436770,6720563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,17250000000,17500000000,0,0,0,0,0,0,6967,409,2,2,0,409,17418998191,8970563230,81001809,8529436770,6470563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,17500000000,17750000000,0,0,0,0,0,0,6967,409,2,2,0,409,17733508500,8970563230,16491500,8779436770,6220563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,17750000000,18000000000,0,0,0,0,0,0,6967,409,1,1,0,409,17987294099,8970563230,12705901,9029436770,5970563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,18000000000,18250000000,0,0,0,0,0,0,6967,409,1,1,0,409,18046323586,8970563230,203676414,9279436770,5720563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,18250000000,18500000000,0,0,0,0,0,0,6967,409,1,1,0,409,18288335528,8970563230,211664472,9529436770,5470563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,18500000000,18750000000,0,0,0,0,0,0,6967,409,2,2,0,409,18598903239,8970563230,151096761,9779436770,5220563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,18750000000,19000000000,0,0,0,0,0,0,6967,409,2,2,0,409,18907550553,8970563230,92449447,10029436770,4970563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,19000000000,19250000000,0,0,0,0,0,0,6967,409,2,2,0,409,19216570072,8970563230,33429928,10279436770,4720563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,19250000000,19500000000,0,0,0,0,0,0,6967,409,1,1,0,409,19487960021,8970563230,12039979,10529436770,4470563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,19500000000,19750000000,0,0,0,0,0,0,6967,409,1,1,0,409,19529143672,8970563230,220856328,10779436770,4220563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,19750000000,20000000000,0,0,0,0,0,0,6967,409,2,2,0,409,19838660103,8970563230,161339897,11029436770,3970563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,20000000000,20250000000,0,0,0,0,0,0,6967,409,2,2,0,409,20148524401,8970563230,101475599,11279436770,3720563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,20250000000,20500000000,0,0,0,0,0,0,6967,409,1,1,0,409,20387651604,8970563230,112348396,11529436770,3470563230,false
