research_scope,phase,source_count,production_symbol_bytes,trials,c_wire_num,c_wire_den,c_reserve_num,c_reserve_den,channel,stationary_erasure_probability,interior_c_num,interior_c_den,wire_bin_count,reserve_cardinality,terminal_bin_count,actual_wire_overhead,actual_total_overhead,initial_completions,initial_completion_probability,final_completions,completion_probability,cp95_lower,cp95_upper,repair_successes,mean_repair_emissions,p95_repair_emissions,mean_reserve_emissions,mean_reserve_losses,duplicate_transmissions,sender_reserve_payload_bytes,sender_reserve_budget_bytes,budget_pass
BEYOND the METTLE paper,grid,8192,1400,512,1,25,3,100,bec-1.5pct,0.015000000,16153,500000,8520,246,8766,0.040039062,0.070068359,0,0.000000000,217,0.423828125,0.380595060,0.467945610,217,191.354839,241,222.839844,3.287109,0,344400,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,25,3,100,bec-2.0pct,0.020000000,16153,500000,8520,246,8766,0.040039062,0.070068359,0,0.000000000,10,0.019531250,0.009404755,0.035624636,10,214.900000,241,245.392578,4.906250,0,344400,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,25,3,100,ge-short-1.089pct,0.010891089,16153,500000,8520,246,8766,0.040039062,0.070068359,33,0.064453125,162,0.316406250,0.276305903,0.358642074,129,140.751938,238,203.626953,2.439453,0,344400,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,25,3,100,ge-long-1.089pct,0.010891089,16153,500000,8520,246,8766,0.040039062,0.070068359,231,0.451171875,273,0.533203125,0.488927225,0.577093614,42,121.595238,220,124.806641,1.076172,0,344400,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,25,1,20,bec-0.1pct,0.001000000,51643,1000000,8520,410,8930,0.040039062,0.090087891,495,0.966796875,512,1.000000000,0.992821050,1.000000000,17,113.176471,334,3.757812,0.005859,0,574000,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,25,1,20,bec-0.5pct,0.005000000,51643,1000000,8520,410,8930,0.040039062,0.090087891,371,0.724609375,512,1.000000000,0.992821050,1.000000000,141,86.964539,250,23.949219,0.113281,0,574000,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,25,1,20,bec-1.0pct,0.010000000,51643,1000000,8520,410,8930,0.040039062,0.090087891,89,0.173828125,512,1.000000000,0.992821050,1.000000000,423,101.153664,230,83.570312,0.800781,0,574000,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,25,1,20,bec-1.5pct,0.015000000,51643,1000000,8520,410,8930,0.040039062,0.090087891,1,0.001953125,512,1.000000000,0.992821050,1.000000000,511,179.534247,330,179.183594,2.621094,0,574000,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,25,1,20,bec-2.0pct,0.020000000,51643,1000000,8520,410,8930,0.040039062,0.090087891,0,0.000000000,480,0.937500000,0.912911228,0.956860917,480,272.591667,383,281.179688,5.517578,0,574000,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,25,1,20,ge-short-1.089pct,0.010891089,51643,1000000,8520,410,8930,0.040039062,0.090087891,50,0.097656250,359,0.701171875,0.659464858,0.740537823,309,217.818770,383,253.976562,3.162109,0,574000,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,25,1,20,ge-long-1.089pct,0.010891089,51643,1000000,8520,410,8930,0.040039062,0.090087891,227,0.443359375,306,0.597656250,0.553740865,0.640437514,79,201.050633,394,195.982422,2.623047,0,574000,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,25,7,100,bec-0.1pct,0.001000000,17733,250000,8520,574,9094,0.040039062,0.110107422,483,0.943359375,512,1.000000000,0.992821050,1.000000000,29,122.344828,420,6.929688,0.007812,0,803600,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,25,7,100,bec-0.5pct,0.005000000,17733,250000,8520,574,9094,0.040039062,0.110107422,364,0.710937500,512,1.000000000,0.992821050,1.000000000,148,126.013514,389,36.425781,0.171875,0,803600,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,25,7,100,bec-1.0pct,0.010000000,17733,250000,8520,574,9094,0.040039062,0.110107422,121,0.236328125,511,0.998046875,0.989166343,0.999950552,390,126.858974,371,97.751953,0.925781,0,803600,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,25,7,100,bec-1.5pct,0.015000000,17733,250000,8520,574,9094,0.040039062,0.110107422,5,0.009765625,511,0.998046875,0.989166343,0.999950552,506,170.883399,380,170.001953,2.513672,0,803600,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,25,7,100,bec-2.0pct,0.020000000,17733,250000,8520,574,9094,0.040039062,0.110107422,0,0.000000000,510,0.996093750,0.985961095,0.999526584,510,247.052941,402,248.330078,4.966797,0,803600,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,25,7,100,ge-short-1.089pct,0.010891089,17733,250000,8520,574,9094,0.040039062,0.110107422,63,0.123046875,464,0.906250000,0.877624345,0.930066312,401,245.733167,489,246.271484,2.988281,0,803600,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,25,7,100,ge-long-1.089pct,0.010891089,17733,250000,8520,574,9094,0.040039062,0.110107422,217,0.423828125,330,0.644531250,0.601352824,0.686029997,113,270.539823,520,263.748047,2.867188,0,803600,8388608,true
BEYOND the METTLE paper,confirmation-best,8192,1400,4096,1,25,7,100,bec-0.1pct,0.001000000,17733,250000,8520,574,9094,0.040039062,0.110107422,3836,0.936523438,4096,1.000000000,0.999099800,1.000000000,260,122.803846,331,7.795166,0.008057,0,803600,8388608,true
BEYOND the METTLE paper,confirmation-best,8192,1400,4096,1,25,7,100,bec-0.5pct,0.005000000,17733,250000,8520,574,9094,0.040039062,0.110107422,2789,0.680908203,4096,1.000000000,0.999099800,1.000000000,1307,127.629686,345,40.725586,0.204346,0,803600,8388608,true
BEYOND the METTLE paper,confirmation-best,8192,1400,4096,1,25,7,100,bec-1.0pct,0.010000000,17733,250000,8520,574,9094,0.040039062,0.110107422,981,0.239501953,4095,0.999755859,0.998640494,0.999993819,3114,124.656069,344,94.910400,0.937988,0,803600,8388608,true
BEYOND the METTLE paper,confirmation-best,8192,1400,4096,1,25,7,100,bec-1.5pct,0.015000000,17733,250000,8520,574,9094,0.040039062,0.110107422,54,0.013183594,4093,0.999267578,0.997861059,0.999848932,4039,170.954692,369,168.996094,2.501465,0,803600,8388608,true
BEYOND the METTLE paper,confirmation-best,8192,1400,4096,1,25,7,100,bec-2.0pct,0.020000000,17733,250000,8520,574,9094,0.040039062,0.110107422,1,0.000244141,4085,0.997314453,0.995199907,0.998658646,4084,245.582762,408,246.404785,4.910400,0,803600,8388608,true
BEYOND the METTLE paper,confirmation-best,8192,1400,4096,1,25,7,100,ge-short-1.089pct,0.010891089,17733,250000,8520,574,9094,0.040039062,0.110107422,520,0.126953125,3729,0.910400391,0.901236348,0.918973991,3209,241.630726,498,240.735107,2.760498,0,803600,8388608,true
BEYOND the METTLE paper,confirmation-best,8192,1400,4096,1,25,7,100,ge-long-1.089pct,0.010891089,17733,250000,8520,574,9094,0.040039062,0.110107422,1849,0.451416016,2657,0.648681641,0.633838007,0.663312909,808,256.696782,526,252.294189,3.152100,0,803600,8388608,true
