research_scope,source_dof,seeds,trees,rate_profile,static_ratio,loss,loss_num,loss_den,receivers,feedback_rtt_ticks,protocol,receiver_observations,receiver_completion_ticks_sum,mean_receiver_completion_ticks,p95_receiver_completion_ticks,barrier_completion_ticks_sum,mean_barrier_completion_ticks,p95_barrier_completion_ticks,sender_stop_ticks_sum,mean_sender_stop_ticks,p95_sender_stop_ticks,total_emissions_sum,mean_total_emissions,p95_total_emissions,ownership_wasted_deliveries_sum,mean_ownership_wasted_deliveries,p95_ownership_wasted_deliveries,post_completion_tail_deliveries_sum,mean_post_completion_tail_deliveries,p95_post_completion_tail_deliveries,post_completion_tail_emissions_sum,mean_post_completion_tail_emissions,p95_post_completion_tail_emissions,opportunity_weighted_tree_utilization
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,bec-0.5pct,5,1000,1,64,pooled_carousel,512,2107792,4116.781250,4123,2107792,4116.781250,4123,2140560,4180.781250,4187,4280096,8359.562500,8372,0,0.000000,0,64432,125.843750,127,64761,126.486328,127,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,bec-0.5pct,5,1000,1,512,equal_split_striping,512,2425925,4738.134766,5145,2425925,4738.134766,5145,2688069,5250.134766,5657,4215357,8233.119141,8244,0,0.000000,0,0,0.000000,0,0,0.000000,0,0.784235832
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,bec-0.5pct,5,1000,1,512,rate_proportional_striping,512,2425925,4738.134766,5145,2425925,4738.134766,5145,2688069,5250.134766,5657,4215357,8233.119141,8244,0,0.000000,0,0,0.000000,0,0,0.000000,0,0.784235832
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,bec-0.5pct,5,1000,1,512,per_stripe_fec,512,2109053,4119.244141,4126,2109053,4119.244141,4126,2109565,4120.244141,4127,4217867,8238.021484,8252,2518,4.917969,12,0,0.000000,0,0,0.000000,0,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,bec-0.5pct,5,1000,1,512,pooled_rounds,512,2424160,4734.687500,5142,2424160,4734.687500,5142,2686304,5246.687500,5654,4215355,8233.115234,8244,0,0.000000,0,0,0.000000,0,0,0.000000,0,0.784750830
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,bec-0.5pct,5,1000,1,512,pooled_carousel,512,2107792,4116.781250,4123,2107792,4116.781250,4123,2369936,4628.781250,4635,4738848,9255.562500,9268,0,0.000000,0,520971,1017.521484,1021,523513,1022.486328,1023,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,bec-0.5pct,5,1000,3,8,equal_split_striping,1536,6338682,4126.746094,4137,2115126,4131.105469,4141,2119222,4139.105469,4149,4219372,8240.960938,8250,12096,23.625000,39,0,0.000000,0,0,0.000000,0,0.995740805
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,bec-0.5pct,5,1000,3,8,rate_proportional_striping,1536,6338682,4126.746094,4137,2115126,4131.105469,4141,2119222,4139.105469,4149,4219372,8240.960938,8250,12096,23.625000,39,0,0.000000,0,0,0.000000,0,0.995740805
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,bec-0.5pct,5,1000,3,8,per_stripe_fec,1536,6326902,4119.076823,4126,2110710,4122.480469,4128,2111222,4123.480469,4129,4221188,8244.507812,8256,17520,34.218750,58,0,0.000000,0,0,0.000000,0,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,bec-0.5pct,5,1000,3,8,pooled_rounds,1536,6334903,4124.285807,4133,2113609,4128.142578,4137,2117705,4136.142578,4145,4218221,8238.712891,8248,0,0.000000,0,0,0.000000,0,0,0.000000,0,0.996182445
