research_scope,source_dof,seeds,trees,rate_profile,loss,receivers,feedback_rtt_ticks,protocol,tree_index,emissions_sum,available_opportunities_sum,utilization
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-0.5pct,3,64,per_stripe_fec,1,2110478,2110478,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-0.5pct,3,64,pooled_rounds,0,2109289,2181361,0.966960077
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-0.5pct,3,64,pooled_rounds,1,2108948,2181361,0.966803752
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-0.5pct,3,64,pooled_carousel,0,2141494,2141494,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-0.5pct,3,64,pooled_carousel,1,2141494,2141494,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-0.5pct,3,512,equal_split_striping,0,2109691,2699454,0.781525079
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-0.5pct,3,512,equal_split_striping,1,2109694,2699454,0.781526190
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-0.5pct,3,512,rate_proportional_striping,0,2109691,2699454,0.781525079
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-0.5pct,3,512,rate_proportional_striping,1,2109694,2699454,0.781526190
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-0.5pct,3,512,per_stripe_fec,0,2110710,2110710,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-0.5pct,3,512,per_stripe_fec,1,2110478,2110478,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-0.5pct,3,512,pooled_rounds,0,2109286,2691826,0.783589281
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-0.5pct,3,512,pooled_rounds,1,2108942,2691826,0.783461487
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-0.5pct,3,512,pooled_carousel,0,2370870,2370870,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-0.5pct,3,512,pooled_carousel,1,2370870,2370870,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-0.5pct,8,8,equal_split_striping,0,2111239,2120269,0.995741106
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-0.5pct,8,8,equal_split_striping,1,2111121,2120269,0.995685453
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-0.5pct,8,8,rate_proportional_striping,0,2111239,2120269,0.995741106
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-0.5pct,8,8,rate_proportional_striping,1,2111121,2120269,0.995685453
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-0.5pct,8,8,per_stripe_fec,0,2112059,2112059,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-0.5pct,8,8,per_stripe_fec,1,2111817,2111817,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-0.5pct,8,8,pooled_rounds,0,2110320,2118419,0.996176866
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-0.5pct,8,8,pooled_rounds,1,2109968,2118419,0.996010704
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-0.5pct,8,8,pooled_carousel,0,2113858,2113858,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-0.5pct,8,8,pooled_carousel,1,2113858,2113858,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-0.5pct,8,64,equal_split_striping,0,2111247,2185253,0.966133898
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-0.5pct,8,64,equal_split_striping,1,2111109,2185253,0.966070748
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-0.5pct,8,64,rate_proportional_striping,0,2111247,2185253,0.966133898
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-0.5pct,8,64,rate_proportional_striping,1,2111109,2185253,0.966070748
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-0.5pct,8,64,per_stripe_fec,0,2112059,2112059,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-0.5pct,8,64,per_stripe_fec,1,2111817,2111817,1.000000000
